[15:31:45.227][info][en2.ContainerRunMojo] Resolved container artifact org.codehaus.cargo:cargo-core-container-wildfly:jar:1.4.11 for container wildfly8x
[15:31:45.507][info][ller.ZipURLInstaller] Installing container in [D:\Didorenko\Project\test-platform\target\cargo\installs\wildfly-8.2.0.Final]
[15:31:55.925][info][talledLocalContainer] Parsed JBoss version = [8.x]
[15:31:55.925][info][talledLocalContainer] WildFly 8.x starting...
[15:31:55.937][info][neLocalConfiguration] Configuring JBoss using the [standalone-engine] server configuration
[15:31:56.248][warn][neLocalConfiguration] JBoss 7 requires datasource JNDI names to start with java:/, hence changing the given JNDI name to: java:/jdbc/Quiz
[15:31:56.964][info][stalledLocalDeployer] Deploying [D:\Didorenko\Project\test-platform\target\cargo\configurations\wildfly8x/tmp/cargo/test-platform.war] to [D:\Didorenko\Project\test-platform\target\cargo\configurations\wildfly8x/deployments]...
[15:32:02.665][info][talledLocalContainer] Listening for transport dt_socket at address: 8000
[15:32:03.107][info][talledLocalContainer] 15:32:03,103 INFO  [org.jboss.modules] (main) JBoss Modules version 1.3.3.Final
[15:32:03.526][info][talledLocalContainer] 15:32:03,526 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.2.Final
[15:32:03.612][info][talledLocalContainer] 15:32:03,612 INFO  [org.jboss.as] (MSC service thread 1-6) JBAS015899: WildFly 8.2.0.Final "Tweek" starting
[15:32:06.099][info][talledLocalContainer] 15:32:06,099 INFO  [org.jboss.as.server] (Controller Boot Thread) JBAS015888: Creating http management service using socket-binding (management-http)
[15:32:06.128][info][talledLocalContainer] 15:32:06,127 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.3.0.Final
[15:32:06.142][info][talledLocalContainer] 15:32:06,142 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.3.0.Final
[15:32:06.182][info][talledLocalContainer] 15:32:06,181 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 32) JBAS010280: Activating Infinispan subsystem.
[15:32:06.203][info][talledLocalContainer] 15:32:06,202 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 31) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
[15:32:06.212][info][talledLocalContainer] 15:32:06,211 WARN  [org.jboss.as.txn] (ServerService Thread Pool -- 46) JBAS010153: Node identifier property is set to the default value. Please make sure it is unique.
[15:32:06.213][info][talledLocalContainer] 15:32:06,212 INFO  [org.jboss.as.security] (ServerService Thread Pool -- 45) JBAS013171: Activating Security Subsystem
[15:32:06.234][info][talledLocalContainer] 15:32:06,232 INFO  [org.jboss.as.security] (MSC service thread 1-3) JBAS013170: Current PicketBox version=4.0.21.Final
[15:32:06.280][info][talledLocalContainer] 15:32:06,279 INFO  [org.jboss.as.webservices] (ServerService Thread Pool -- 48) JBAS015537: Activating WebServices Extension
[15:32:06.291][info][talledLocalContainer] 15:32:06,288 INFO  [org.jboss.as.jsf] (ServerService Thread Pool -- 38) JBAS012615: Activated the following JSF Implementations: [main]
[15:32:06.298][info][talledLocalContainer] 15:32:06,297 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 47) JBAS017502: Undertow 1.1.0.Final starting
[15:32:06.308][info][talledLocalContainer] 15:32:06,307 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) JBAS017502: Undertow 1.1.0.Final starting
[15:32:06.327][info][talledLocalContainer] 15:32:06,326 INFO  [org.jboss.as.naming] (ServerService Thread Pool -- 40) JBAS011800: Activating Naming Subsystem
[15:32:06.389][info][talledLocalContainer] 15:32:06,389 INFO  [org.jboss.as.connector.logging] (MSC service thread 1-3) JBAS010408: Starting JCA Subsystem (IronJacamar 1.1.9.Final)
[15:32:06.485][info][talledLocalContainer] 15:32:06,483 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 27) JBAS010404: Deploying non-JDBC-compliant driver class com.mysql.jdbc.Driver (version 5.1)
[15:32:06.493][info][talledLocalContainer] 15:32:06,491 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-5) JBAS010417: Started Driver service with driver-name = com.mysql.jdbc.Driver
[15:32:06.544][info][talledLocalContainer] 15:32:06,544 INFO  [org.jboss.as.naming] (MSC service thread 1-3) JBAS011802: Starting Naming Service
[15:32:06.545][info][talledLocalContainer] 15:32:06,545 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 27) JBAS010403: Deploying JDBC-compliant driver class org.h2.Driver (version 1.3)
[15:32:06.545][info][talledLocalContainer] 15:32:06,545 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-3) JBAS015400: Bound mail session [java:jboss/mail/Default]
[15:32:06.546][info][talledLocalContainer] 15:32:06,546 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-3) JBAS010417: Started Driver service with driver-name = h2
[15:32:06.649][info][talledLocalContainer] 15:32:06,648 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 47) JBAS017527: Creating file handler for path D:\Didorenko\Project\test-platform\target\cargo\installs\wildfly-8.2.0.Final\wildfly-8.2.0.Final/welcome-content
[15:32:06.916][info][talledLocalContainer] 15:32:06,916 INFO  [org.jboss.remoting] (MSC service thread 1-4) JBoss Remoting version 4.0.6.Final
[15:32:07.130][info][talledLocalContainer] 15:32:07,130 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) JBAS017525: Started server default-server.
[15:32:07.141][info][talledLocalContainer] 15:32:07,140 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) JBAS017531: Host default-host starting
[15:32:07.212][info][talledLocalContainer] 15:32:07,211 INFO  [org.jboss.as.server.deployment.scanner] (MSC service thread 1-5) JBAS015012: Started FileSystemDeploymentService for directory D:\Didorenko\Project\test-platform\target\cargo\configurations\wildfly8x\deployments
[15:32:07.214][info][talledLocalContainer] 15:32:07,213 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-4) JBAS015876: Starting deployment of "test-platform.war" (runtime-name: "test-platform.war")
[15:32:07.214][info][talledLocalContainer] 15:32:07,213 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) JBAS015876: Starting deployment of "cargocpc.war" (runtime-name: "cargocpc.war")
[15:32:07.287][info][talledLocalContainer] 15:32:07,285 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-1) JBAS017519: Undertow HTTP listener default listening on /0.0.0.0:8080
[15:32:07.499][info][talledLocalContainer] 15:32:07,497 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-8) JBAS010400: Bound data source [java:jboss/datasources/ExampleDS]
[15:32:07.499][info][talledLocalContainer] 15:32:07,498 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-4) JBAS010400: Bound data source [java:/jdbc/Quiz]
[15:32:08.494][info][talledLocalContainer] 15:32:08,493 INFO  [org.jboss.ws.common.management] (MSC service thread 1-3) JBWS022052: Starting JBoss Web Services - Stack CXF Server 4.3.2.Final
[15:32:08.966][info][talledLocalContainer] 15:32:08,965 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-4) JBAS017534: Registered web context: /cargocpc
[15:32:09.037][info][talledLocalContainer] WildFly 8.x started on port [8080]
[15:32:13.019][info][talledLocalContainer] 15:32:13,019 INFO  [org.jboss.as.jpa] (MSC service thread 1-5) JBAS011401: Read persistence.xml for com.bionic.quiz
[15:32:13.723][info][talledLocalContainer] 15:32:13,722 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 50) JBAS011409: Starting Persistence Unit (phase 1 of 2) Service 'test-platform.war#com.bionic.quiz'
[15:32:13.734][info][talledLocalContainer] 15:32:13,734 INFO  [org.hibernate.jpa.internal.util.LogHelper] (ServerService Thread Pool -- 50) HHH000204: Processing PersistenceUnitInfo [
[15:32:13.734][info][talledLocalContainer] 	name: com.bionic.quiz
[15:32:13.734][info][talledLocalContainer] 	...]
[15:32:13.823][info][talledLocalContainer] 15:32:13,822 INFO  [org.hibernate.Version] (ServerService Thread Pool -- 50) HHH000412: Hibernate Core {4.3.7.Final}
[15:32:13.825][info][talledLocalContainer] 15:32:13,825 INFO  [org.hibernate.cfg.Environment] (ServerService Thread Pool -- 50) HHH000206: hibernate.properties not found
[15:32:13.827][info][talledLocalContainer] 15:32:13,827 INFO  [org.hibernate.cfg.Environment] (ServerService Thread Pool -- 50) HHH000021: Bytecode provider name : javassist
[15:32:13.952][info][talledLocalContainer] 15:32:13,952 INFO  [org.jboss.weld.deployer] (MSC service thread 1-8) JBAS016002: Processing weld deployment test-platform.war
[15:32:14.018][info][talledLocalContainer] 15:32:14,018 INFO  [org.hibernate.validator.internal.util.Version] (MSC service thread 1-8) HV000001: Hibernate Validator 5.1.3.Final
[15:32:14.432][info][talledLocalContainer] 15:32:14,431 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-8) JBAS010404: Deploying non-JDBC-compliant driver class com.mysql.jdbc.Driver (version 5.1)
[15:32:14.433][info][talledLocalContainer] 15:32:14,433 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-8) JBAS010404: Deploying non-JDBC-compliant driver class com.mysql.fabric.jdbc.FabricMySQLDriver (version 5.1)
[15:32:14.434][info][talledLocalContainer] 15:32:14,434 INFO  [org.jboss.weld.deployer] (MSC service thread 1-8) JBAS016005: Starting Services for CDI deployment: test-platform.war
[15:32:14.476][info][talledLocalContainer] 15:32:14,475 INFO  [org.jboss.weld.Version] (MSC service thread 1-8) WELD-000900: 2.2.6 (Final)
[15:32:14.490][info][talledLocalContainer] 15:32:14,489 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-6) JBAS010417: Started Driver service with driver-name = test-platform.war_com.mysql.fabric.jdbc.FabricMySQLDriver_5_1
[15:32:14.492][info][talledLocalContainer] 15:32:14,490 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-2) JBAS010417: Started Driver service with driver-name = test-platform.war_com.mysql.jdbc.Driver_5_1
